Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município**,Município do Curso**,Sigla da UF** ,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação
2021,2501.0,ARTES VISUAIS ,Licenciatura,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,151.0,Educação Presencial,5300108.0,Brasília,DF,54.0,41.0,45.814,3.771,61.907,3.947,3.903,4,
2021,2501.0,ARTES VISUAIS ,Licenciatura,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,52159.0,Educação Presencial,5300108.0,Brasília,DF,34.0,28.0,40.496,2.988,51.514,2.64,2.727,3,
2021,2501.0,ARTES VISUAIS ,Licenciatura,3.0,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,80419.0,Educação Presencial,2806701.0,São Cristóvão,SE,33.0,33.0,36.445,2.392,51.121,2.59,2.541,3,
2021,2501.0,ARTES VISUAIS ,Licenciatura,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,62512.0,Educação Presencial,1302603.0,Manaus,AM,27.0,23.0,43.569,3.441,54.447,3.009,3.117,4,
2021,2501.0,ARTES VISUAIS ,Licenciatura,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,112126.0,Educação a Distância,1302603.0,Manaus,AM,65.0,59.0,25.818,0.828,33.503,0.374,0.488,1,
2021,2501.0,ARTES VISUAIS ,Licenciatura,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,1103469.0,Educação Presencial,1303403.0,Parintins,AM,25.0,20.0,23.215,0.445,30.525,0.0,0.111,1,
2021,2501.0,ARTES VISUAIS ,Licenciatura,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,1105133.0,Educação Presencial,2211001.0,Teresina,PI,52.0,37.0,37.086,2.487,52.327,2.742,2.678,3,
2021,2501.0,ARTES VISUAIS ,Licenciatura,9.0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pública Estadual,1146843.0,Educação Presencial,4113700.0,Londrina,PR,42.0,41.0,39.846,2.893,54.931,3.07,3.025,4,
2021,2501.0,ARTES VISUAIS ,Licenciatura,12.0,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Universidade,Pública Federal,1044.0,Educação Presencial,4315602.0,Rio Grande,RS,18.0,16.0,37.237,2.509,50.831,2.554,2.543,3,
2021,2501.0,ARTES VISUAIS ,Licenciatura,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Privada sem fins lucrativos,112356.0,Educação Presencial,4305108.0,Caxias do Sul,RS,21.0,18.0,38.122,2.639,50.122,2.465,2.508,3,
2021,2501.0,ARTES VISUAIS ,Licenciatura,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Universidade,Pública Federal,111378.0,Educação Presencial,3170206.0,Uberlândia,MG,34.0,30.0,45.536,3.73,62.633,4.038,3.961,5,
2021,2501.0,ARTES VISUAIS ,Licenciatura,19.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Universidade,Privada sem fins lucrativos,21865.0,Educação Presencial,3509502.0,Campinas,SP,11.0,6.0,44.983,3.649,50.216,2.477,2.77,3,
2021,2501.0,ARTES VISUAIS ,Licenciatura,20.0,UNIVERSIDADE DE PASSO FUNDO,UPF,Universidade,Privada sem fins lucrativos,88502.0,Educação Presencial,4314100.0,Passo Fundo,RS,11.0,9.0,32.188,1.766,54.333,2.994,2.687,3,
2021,2501.0,ARTES VISUAIS ,Licenciatura,23.0,UNIVERSIDADE FEEVALE,FEEVALE,Universidade,Privada sem fins lucrativos,58330.0,Educação Presencial,4313409.0,Novo Hamburgo,RS,11.0,9.0,35.188,2.207,47.177,2.094,2.123,3,
2021,2501.0,ARTES VISUAIS ,Licenciatura,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Universidade,Pública Estadual,1152477.0,Educação a Distância,2304400.0,Fortaleza,CE,9.0,4.0,35.75,2.29,59.725,3.673,3.327,4,
2021,2501.0,ARTES VISUAIS ,Licenciatura,43.0,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Universidade,Pública Estadual,117352.0,Educação Presencial,4205407.0,Florianópolis,SC,24.0,22.0,49.531,4.318,57.586,3.404,3.632,4,
2021,2501.0,ARTES VISUAIS ,Licenciatura,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Universidade,Pública Estadual,91972.0,Educação Presencial,3509502.0,Campinas,SP,24.0,15.0,54.16,5.0,70.273,5.0,5.0,5,
2021,2501.0,ARTES VISUAIS ,Licenciatura,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,94725.0,Educação Presencial,3550308.0,São Paulo,SP,61.0,53.0,52.147,4.703,68.262,4.747,4.736,5,
